epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
188,1124.04,0.64962,0.60047,1.00455,0.97869,0.97959,0.99422,0.93142,0.3842,0.40253,0.83957,0.0001487,0.0001487,0.0001487
189,1129.98,0.54597,0.49976,0.93489,0.97865,0.97959,0.99422,0.94251,0.37856,0.40037,0.83562,0.0001388,0.0001388,0.0001388
190,1136.28,0.52957,0.5087,0.93897,0.97996,0.99794,0.9946,0.94419,0.3702,0.39907,0.83312,0.0001289,0.0001289,0.0001289
191,1142.19,0.49122,0.47798,0.89551,0.97996,0.99794,0.9946,0.94419,0.3702,0.39907,0.83312,0.000119,0.000119,0.000119
192,1148.11,0.49494,0.51461,0.92503,0.97996,0.99787,0.9946,0.94206,0.37006,0.39934,0.8323,0.0001091,0.0001091,0.0001091
193,1153.96,0.45814,0.46185,0.89778,0.97996,0.99777,0.9946,0.93936,0.37122,0.40064,0.83251,9.92e-05,9.92e-05,9.92e-05
194,1159.8,0.46976,0.50464,0.88529,0.97995,0.99754,0.9946,0.94255,0.36924,0.40127,0.83246,8.93e-05,8.93e-05,8.93e-05
195,1165.68,0.46388,0.48332,0.88573,0.97995,0.99754,0.9946,0.94255,0.36924,0.40127,0.83246,7.94e-05,7.94e-05,7.94e-05
196,1171.57,0.43301,0.48545,0.89404,0.97995,0.99742,0.9946,0.94557,0.36985,0.40519,0.83268,6.95e-05,6.95e-05,6.95e-05
197,1177.41,0.46822,0.46192,0.86394,0.97994,0.99723,0.9946,0.94045,0.37044,0.40641,0.83183,5.96e-05,5.96e-05,5.96e-05
198,1183.25,0.44763,0.45964,0.87399,0.97994,0.99706,0.9946,0.93867,0.36817,0.40621,0.83057,4.97e-05,4.97e-05,4.97e-05
199,1189.07,0.449,0.45783,0.84647,0.97994,0.99706,0.9946,0.93867,0.36817,0.40621,0.83057,3.98e-05,3.98e-05,3.98e-05
200,1194.93,0.45339,0.46043,0.87712,0.97994,0.99684,0.9946,0.93737,0.36716,0.40516,0.82993,2.99e-05,2.99e-05,2.99e-05
